ReviewID,Churn,Name,Longevity,TypeTravel,RoomType,RewardPoints,Comfort,ReceptionSchedule,FoodDrink,Location,Wifi,Amenities,Staff,OnlineBooking,PriceQuality,RoomSpace,CheckOut,Checkin,Cleanliness,BarService,Average,Age,Gender,label_reviews,label_categoric,final_label
0,churn,Ms. Nicole Clarke,yes,business,single,4907,3,4,1,4,4,3,4,3,3,3,3,4,3,4,3.2857142857142856,48.0,F,1,0,10
1,nochurn,Mr. Jesse Scott,yes,business,single,6724,1,1,1,1,5,3,4,5,5,5,5,1,5,2,3.142857142857143,57.0,M,1,3,13
2,churn,Mr. Christopher Carter,yes,business,single,4365,3,3,3,3,1,4,4,3,3,2,3,2,3,1,2.7142857142857144,49.0,M,0,2,02
3,nochurn,Ms. Jennifer Morgan,yes,leisure,double,3849,1,1,1,1,4,4,5,4,4,4,4,4,4,3,3.142857142857143,29.0,F,1,1,11
4,nochurn,Mr. Michael White,yes,business,single,5376,2,2,3,2,5,5,5,5,5,3,4,1,3,5,3.5714285714285716,33.0,M,1,3,13
5,churn,Ms. Morgan Briggs,yes,business,double,5342,2,2,5,5,3,2,2,2,2,2,2,4,2,1,2.5714285714285716,47.0,F,0,0,00
6,churn,Ms. Kellie Alvarez,no,business,double,4909,2,2,2,3,2,2,2,2,1,1,2,2,3,2,2.0,32.0,F,0,0,00
7,churn,Mr. Jorge Brown,yes,business,single,4037,2,3,3,3,2,4,4,2,2,3,2,1,2,2,2.5,46.0,M,0,2,02
8,churn,Mr. Jesus Soto,yes,business,single,3694,2,3,3,3,2,2,2,2,2,1,2,2,2,1,2.0714285714285716,48.0,M,0,2,02
9,churn,Mr. Anthony Young,yes,business,single,3475,3,5,5,5,3,3,3,3,4,3,4,1,4,3,3.5,28.0,M,2,2,22
10,nochurn,Mr. Patrick Garza,yes,leisure,double,5059,4,3,4,2,1,4,1,1,2,4,3,5,2,1,2.642857142857143,62.0,M,0,3,03
11,churn,Ms. Jill Bowman,no,business,double,5360,2,2,2,4,4,2,3,4,2,4,4,3,3,4,3.0714285714285716,27.0,F,1,0,10
12,nochurn,Ms. Kelly Newman,no,business,single,5853,5,5,5,4,3,5,3,3,3,5,5,4,4,3,4.071428571428571,45.0,F,2,0,20
13,nochurn,Mr. Danny Frazier,yes,business,single,5164,2,2,2,2,3,5,5,5,5,5,5,4,5,3,3.7857142857142856,41.0,M,1,3,13
14,nochurn,Mr. Ralph Johnson,yes,leisure,double,5858,5,5,5,5,3,5,3,3,5,2,5,3,4,3,4.0,28.0,M,2,3,23
15,nochurn,Mr. Sean Hendricks,yes,business,single,6571,4,4,4,4,4,2,1,3,3,3,3,1,3,5,3.142857142857143,53.0,M,0,3,03
16,churn,Mr. John Miller,no,business,single,5756,3,3,3,2,5,3,5,5,5,5,5,3,4,5,4.0,40.0,M,1,0,10
